id,Name,Year,Percent of graduates with debt,Average debt of graduates,Per capita debt of graduates,Full-time freshmen who received any student loans (#),% of full-time freshmen who received any student loans,Average amount of student loans received by full-time freshmen who borrowed,Tuition and fees (in-district/in-state),Graduation rate (within 150% of normal time),Origin of data
235,"Delaware - Private, nonprofit",2014-15,,,,697,0.7,6962,19699,0.28,CollegeInSight_Explore_DE
236,"Delaware - Private, nonprofit",2013-14,,,,793,0.8,7257,18357,0.34,CollegeInSight_Explore_DE
237,"Delaware - Private, nonprofit",2012-13,,,,851,0.76,7245,18464,0.35,CollegeInSight_Explore_DE
238,"Delaware - Private, nonprofit",2011-12,,,,925,0.73,8060,16778,0.38,CollegeInSight_Explore_DE
239,"Delaware - Private, nonprofit",2010-11,,,,896,0.79,6900,16285,0.38,CollegeInSight_Explore_DE
240,"Delaware - Private, nonprofit",2009-10,,,,962,0.84,6973,16330,0.38,CollegeInSight_Explore_DE
241,Delaware - Public,2016-17,0.62,34144,21169,,,,9831,,CollegeInSight_Explore_DE
242,Delaware - Public,2015-16,0.63,33838,21318,3267,0.46,8119,9679,0.55,CollegeInSight_Explore_DE
243,Delaware - Public,2014-15,0.65,33849,21878,3317,0.46,8085,9406,0.56,CollegeInSight_Explore_DE
244,Delaware - Public,2013-14,0.62,33808,20950,3217,0.44,7913,8888,0.53,CollegeInSight_Explore_DE
245,Delaware - Public,2012-13,0.62,32571,20194,3347,0.46,7414,8650,0.54,CollegeInSight_Explore_DE
246,Delaware - Public,2011-12,0.56,33649,18843,3475,0.45,7226,8080,0.52,CollegeInSight_Explore_DE
247,Delaware - Public,2010-11,,,,2796,0.39,6888,7374,0.49,CollegeInSight_Explore_DE
248,Delaware - Public,2009-10,,,,3200,0.43,7415,7040,0.49,CollegeInSight_Explore_DE
249,Delaware - Total,2016-17,0.62,34144,21169,,,,10953,,CollegeInSight_Explore_DE
250,Delaware - Total,2015-16,0.63,33838,21318,4871,0.51,7563,10908,0.54,CollegeInSight_Explore_DE
251,Delaware - Total,2014-15,0.65,33849,21878,5199,0.52,7516,10639,0.55,CollegeInSight_Explore_DE
252,Delaware - Total,2013-14,0.62,33808,20950,5358,0.52,7484,10043,0.53,CollegeInSight_Explore_DE
253,Delaware - Total,2012-13,0.62,32571,20194,5837,0.51,7070,9899,0.54,CollegeInSight_Explore_DE
254,Delaware - Total,2011-12,0.56,33649,18843,6649,0.54,6839,9259,0.52,CollegeInSight_Explore_DE
255,Delaware - Total,2010-11,,,,6183,0.53,6310,8615,0.51,CollegeInSight_Explore_DE
256,Delaware - Total,2009-10,,,,6307,0.55,6657,8300,0.51,CollegeInSight_Explore_DE
257,"District of Columbia - Private, for-profit",2016-17,,,,,,,13569,,CollegeInSight_Explore_DE
258,"District of Columbia - Private, for-profit",2015-16,,,,1195,0.83,6793,13291,0.6,CollegeInSight_Explore_DE
259,"District of Columbia - Private, for-profit",2014-15,,,,1329,0.75,8084,12693,0.55,CollegeInSight_Explore_DE
260,"District of Columbia - Private, for-profit",2013-14,,,,1400,0.84,7898,12843,0.55,CollegeInSight_Explore_DE
261,"District of Columbia - Private, for-profit",2012-13,,,,1201,0.92,7235,12518,0.54,CollegeInSight_Explore_DE
262,"District of Columbia - Private, for-profit",2011-12,,,,869,0.76,6603,11736,0.5,CollegeInSight_Explore_DE
263,"District of Columbia - Private, for-profit",2010-11,,,,783,0.82,5923,12316,0.5,CollegeInSight_Explore_DE
264,"District of Columbia - Private, for-profit",2009-10,,,,707,0.78,5098,14307,0.52,CollegeInSight_Explore_DE
265,"District of Columbia - Private, nonprofit",2016-17,0.46,30775,14156,,,,44255,,CollegeInSight_Explore_DE
266,"District of Columbia - Private, nonprofit",2015-16,0.53,31129,16498,4259,0.48,7724,41376,0.77,CollegeInSight_Explore_DE
267,"District of Columbia - Private, nonprofit",2014-15,0.55,31452,17327,4667,0.55,7378,40183,0.77,CollegeInSight_Explore_DE
268,"District of Columbia - Private, nonprofit",2013-14,,,,4373,0.52,7485,38450,0.76,CollegeInSight_Explore_DE
269,"District of Columbia - Private, nonprofit",2012-13,,,,4027,0.49,7843,37555,0.76,CollegeInSight_Explore_DE
270,"District of Columbia - Private, nonprofit",2011-12,0.56,22106,12286,4418,0.54,7287,35549,0.75,CollegeInSight_Explore_DE
271,"District of Columbia - Private, nonprofit",2010-11,0.52,28241,14771,4464,0.53,7126,34362,0.76,CollegeInSight_Explore_DE
272,"District of Columbia - Private, nonprofit",2009-10,0.51,26932,13729,4618,0.54,7774,32875,0.81,CollegeInSight_Explore_DE
273,District of Columbia - Public,2016-17,,,,,,,5612,,CollegeInSight_Explore_DE
274,District of Columbia - Public,2015-16,0.67,22964,15386,67,0.3,5530,5251,0.13,CollegeInSight_Explore_DE
275,District of Columbia - Public,2014-15,,,,84,0.43,5945,5251,0.15,CollegeInSight_Explore_DE
276,District of Columbia - Public,2013-14,,,,134,0.56,5592,5138,0.13,CollegeInSight_Explore_DE
277,District of Columbia - Public,2012-13,,,,114,0.56,5474,7244,0.16,CollegeInSight_Explore_DE
278,District of Columbia - Public,2011-12,,,,134,0.41,2989,7000,0.15,CollegeInSight_Explore_DE
279,District of Columbia - Public,2010-11,,,,97,0.21,2620,7000,0.17,CollegeInSight_Explore_DE
280,District of Columbia - Public,2009-10,,,,116,0.25,1833,3000,0.12,CollegeInSight_Explore_DE
281,District of Columbia - Total,2016-17,0.46,30775,14156,,,,42922,,CollegeInSight_Explore_DE
282,District of Columbia - Total,2015-16,0.53,31054,16459,5521,0.52,7496,40297,0.74,CollegeInSight_Explore_DE
283,District of Columbia - Total,2014-15,0.55,31452,17327,6080,0.58,7513,39246,0.72,CollegeInSight_Explore_DE
284,District of Columbia - Total,2013-14,,,,5907,0.57,7540,37403,0.72,CollegeInSight_Explore_DE
285,District of Columbia - Total,2012-13,,,,5342,0.55,7656,36583,0.71,CollegeInSight_Explore_DE
286,District of Columbia - Total,2011-12,0.56,22106,12286,5421,0.56,7071,34271,0.71,CollegeInSight_Explore_DE
287,District of Columbia - Total,2010-11,0.52,28241,14771,5344,0.54,6868,32760,0.72,CollegeInSight_Explore_DE
288,District of Columbia - Total,2009-10,0.54,24191,12949,5441,0.55,7300,30093,0.76,CollegeInSight_Explore_DE
289,"Florida - Private, for-profit",2016-17,,,,,,,18897,,CollegeInSight_Explore_IN.csv
290,"Florida - Private, for-profit",2015-16,,,,20389,0.67,8042,18801,0.54,CollegeInSight_Explore_IN.csv
291,"Florida - Private, for-profit",2014-15,,,,31112,0.57,7802,19216,0.54,CollegeInSight_Explore_IN.csv
292,"Florida - Private, for-profit",2013-14,,,,34260,0.58,8067,17786,0.54,CollegeInSight_Explore_IN.csv
293,"Florida - Private, for-profit",2012-13,,,,51970,0.76,7065,16751,0.59,CollegeInSight_Explore_IN.csv
294,"Florida - Private, for-profit",2011-12,,,,59815,0.8,6960,16891,0.61,CollegeInSight_Explore_IN.csv
295,"Florida - Private, for-profit",2010-11,,,,59391,0.79,8042,16260,0.63,CollegeInSight_Explore_IN.csv
296,"Florida - Private, for-profit",2009-10,,,,87099,0.78,8505,17897,0.62,CollegeInSight_Explore_IN.csv
297,"Florida - Private, nonprofit",2016-17,0.59,31306,18470,,,,27899,,CollegeInSight_Explore_IN.csv
298,"Florida - Private, nonprofit",2015-16,0.57,30099,17157,38389,0.8,7483,27343,0.52,CollegeInSight_Explore_IN.csv
299,"Florida - Private, nonprofit",2014-15,0.6,29718,17852,14238,0.66,7783,27207,0.53,CollegeInSight_Explore_IN.csv
300,"Florida - Private, nonprofit",2013-14,0.61,30538,18671,13458,0.67,8197,26532,0.54,CollegeInSight_Explore_IN.csv
301,"Florida - Private, nonprofit",2012-13,0.63,30044,18860,13547,0.67,8229,25436,0.55,CollegeInSight_Explore_IN.csv
302,"Florida - Private, nonprofit",2011-12,0.61,29990,18277,13252,0.66,8160,24664,0.55,CollegeInSight_Explore_IN.csv
303,"Florida - Private, nonprofit",2010-11,0.64,30501,19382,11311,0.65,7542,24667,0.55,CollegeInSight_Explore_IN.csv
304,"Florida - Private, nonprofit",2009-10,0.65,26266,17176,11445,0.65,7833,22870,0.53,CollegeInSight_Explore_IN.csv
305,Florida - Public,2016-17,0.48,21626,10381,,,,4360,,CollegeInSight_Explore_IN.csv
306,Florida - Public,2015-16,0.51,22879,11668,25491,0.24,5638,4327,0.5,CollegeInSight_Explore_IN.csv
307,Florida - Public,2014-15,0.51,21639,11099,28963,0.28,5486,4342,0.5,CollegeInSight_Explore_IN.csv
308,Florida - Public,2013-14,0.52,22947,11979,29261,0.28,5204,4269,0.51,CollegeInSight_Explore_IN.csv
309,Florida - Public,2012-13,0.51,22067,11196,28434,0.28,5470,4218,0.49,CollegeInSight_Explore_IN.csv
310,Florida - Public,2011-12,0.49,20554,9979,28645,0.26,5411,3879,0.5,CollegeInSight_Explore_IN.csv
311,Florida - Public,2010-11,0.47,20221,9518,28182,0.26,4986,3550,0.49,CollegeInSight_Explore_IN.csv
312,Florida - Public,2009-10,0.45,19114,8627,24807,0.23,4741,3172,0.48,CollegeInSight_Explore_IN.csv
313,Florida - Total,2016-17,0.5,24041,12021,,,,9923,,CollegeInSight_Explore_IN.csv
314,Florida - Total,2015-16,0.52,24461,12720,84269,0.46,7060,9489,0.52,CollegeInSight_Explore_IN.csv
315,Florida - Total,2014-15,0.53,23490,12466,74313,0.41,6896,9355,0.52,CollegeInSight_Explore_IN.csv
316,Florida - Total,2013-14,0.54,24947,13544,76979,0.42,7001,9211,0.53,CollegeInSight_Explore_IN.csv
317,Florida - Total,2012-13,0.53,24018,12786,93951,0.49,6750,9152,0.53,CollegeInSight_Explore_IN.csv
318,Florida - Total,2011-12,0.51,22873,11689,101712,0.5,6680,8549,0.55,CollegeInSight_Explore_IN.csv
319,Florida - Total,2010-11,0.51,23054,11686,98884,0.49,7114,8156,0.54,CollegeInSight_Explore_IN.csv
320,Florida - Total,2009-10,0.5,21184,10503,123351,0.52,7686,8065,0.53,CollegeInSight_Explore_IN.csv
321,"Hawaii - Private, for-profit",2016-17,,,,,,,15694,,CollegeInSight_Explore_IN.csv
322,"Hawaii - Private, for-profit",2015-16,,,,111,0.61,7048,14538,0.65,CollegeInSight_Explore_IN.csv
323,"Hawaii - Private, for-profit",2014-15,,,,125,0.5,7716,13234,0.6,CollegeInSight_Explore_IN.csv
324,"Hawaii - Private, for-profit",2013-14,,,,315,0.62,7735,13438,0.58,CollegeInSight_Explore_IN.csv
325,"Hawaii - Private, for-profit",2012-13,,,,415,0.71,7468,12862,0.57,CollegeInSight_Explore_IN.csv
326,"Hawaii - Private, for-profit",2011-12,,,,436,0.59,7393,12897,0.61,CollegeInSight_Explore_IN.csv
327,"Hawaii - Private, for-profit",2010-11,,,,657,0.64,7218,14205,0.6,CollegeInSight_Explore_IN.csv
328,"Hawaii - Private, for-profit",2009-10,,,,843,0.64,6924,13402,0.53,CollegeInSight_Explore_IN.csv
329,"Hawaii - Private, nonprofit",2016-17,0.61,27013,16478,,,,16459,,CollegeInSight_Explore_IN.csv
330,"Hawaii - Private, nonprofit",2015-16,0.59,29669,17505,612,0.47,6318,14988,0.51,CollegeInSight_Explore_IN.csv
331,"Hawaii - Private, nonprofit",2014-15,,,,673,0.47,6878,14697,0.5,CollegeInSight_Explore_IN.csv
332,"Hawaii - Private, nonprofit",2013-14,,,,784,0.54,5951,14323,0.47,CollegeInSight_Explore_IN.csv
333,"Hawaii - Private, nonprofit",2012-13,,,,674,0.48,7261,13249,0.41,CollegeInSight_Explore_IN.csv
334,"Hawaii - Private, nonprofit",2011-12,0.5,30893,15447,823,0.55,6720,13035,0.42,CollegeInSight_Explore_IN.csv
335,"Hawaii - Private, nonprofit",2010-11,,,,682,0.46,5925,11793,0.41,CollegeInSight_Explore_IN.csv
336,"Hawaii - Private, nonprofit",2009-10,,,,453,0.38,6752,12511,0.43,CollegeInSight_Explore_IN.csv
337,Hawaii - Public,2016-17,0.45,24233,10905,,,,6612,,CollegeInSight_Explore_IN.csv
338,Hawaii - Public,2015-16,0.47,24665,11593,1225,0.22,5961,6115,0.31,CollegeInSight_Explore_IN.csv
339,Hawaii - Public,2014-15,0.48,22820,10954,1440,0.25,5660,5661,0.31,CollegeInSight_Explore_IN.csv
340,Hawaii - Public,2013-14,0.45,24277,10925,1503,0.25,5813,5388,0.31,CollegeInSight_Explore_IN.csv
341,Hawaii - Public,2012-13,0.46,21979,10179,1483,0.24,5749,5007,0.29,CollegeInSight_Explore_IN.csv
342,Hawaii - Public,2011-12,0.44,19526,8539,1542,0.26,5619,4895,0.28,CollegeInSight_Explore_IN.csv
343,Hawaii - Public,2010-11,0.4,17034,6892,1419,0.24,5281,4201,0.3,CollegeInSight_Explore_IN.csv
344,Hawaii - Public,2009-10,0.38,15550,5868,1334,0.22,5062,3805,0.3,CollegeInSight_Explore_IN.csv
345,Hawaii - Total,2016-17,0.49,25125,12311,,,,8470,,CollegeInSight_Explore_IN.csv
346,Hawaii - Total,2015-16,0.5,26092,13046,1948,0.27,6135,7803,0.37,CollegeInSight_Explore_IN.csv
347,Hawaii - Total,2014-15,0.5,23456,11661,2238,0.3,6141,7579,0.37,CollegeInSight_Explore_IN.csv
348,Hawaii - Total,2013-14,0.47,24554,11512,2602,0.32,6087,7272,0.36,CollegeInSight_Explore_IN.csv
349,Hawaii - Total,2012-13,0.47,22785,10749,2572,0.32,6422,6737,0.34,CollegeInSight_Explore_IN.csv
350,Hawaii - Total,2011-12,,,,2801,0.34,6218,6826,0.33,CollegeInSight_Explore_IN.csv
351,Hawaii - Total,2010-11,,,,2758,0.32,5902,6154,0.36,CollegeInSight_Explore_IN.csv
352,Hawaii - Total,2009-10,0.38,15550,5868,2630,0.31,5950,5727,0.35,CollegeInSight_Explore_IN.csv
353,"Idaho - Private, for-profit",2016-17,,,,,,,13250,,CollegeInSight_Explore_IN.csv
354,"Idaho - Private, for-profit",2015-16,,,,779,0.79,7302,14820,0.58,CollegeInSight_Explore_IN.csv
355,"Idaho - Private, for-profit",2014-15,,,,960,0.77,7188,13787,0.54,CollegeInSight_Explore_IN.csv
356,"Idaho - Private, for-profit",2013-14,,,,1064,0.77,7047,13661,0.55,CollegeInSight_Explore_IN.csv
357,"Idaho - Private, for-profit",2012-13,,,,1452,0.76,7869,15684,0.6,CollegeInSight_Explore_IN.csv
358,"Idaho - Private, for-profit",2011-12,,,,1553,0.76,6186,13769,0.66,CollegeInSight_Explore_IN.csv
359,"Idaho - Private, for-profit",2010-11,,,,1848,0.74,8085,11810,0.65,CollegeInSight_Explore_IN.csv
360,"Idaho - Private, for-profit",2009-10,,,,2030,0.73,7861,12263,0.69,CollegeInSight_Explore_IN.csv
361,"Idaho - Private, nonprofit",2016-17,,,,,,,6724,,CollegeInSight_Explore_IN.csv
362,"Idaho - Private, nonprofit",2015-16,,,,1048,0.33,5516,7603,0.53,CollegeInSight_Explore_IN.csv
363,"Idaho - Private, nonprofit",2014-15,,,,972,0.37,5458,8993,0.57,CollegeInSight_Explore_IN.csv
364,"Idaho - Private, nonprofit",2013-14,,,,1329,0.43,6713,8398,0.53,CollegeInSight_Explore_IN.csv
365,"Idaho - Private, nonprofit",2012-13,,,,1034,0.34,5167,7561,0.6,CollegeInSight_Explore_IN.csv
366,"Idaho - Private, nonprofit",2011-12,,,,1114,0.37,5411,7188,0.6,CollegeInSight_Explore_IN.csv
367,"Idaho - Private, nonprofit",2010-11,,,,973,0.36,5411,7510,0.6,CollegeInSight_Explore_IN.csv
368,"Idaho - Private, nonprofit",2009-10,,,,862,0.28,5324,7025,0.63,CollegeInSight_Explore_IN.csv
369,Idaho - Public,2016-17,0.6,27317,16390,,,,5993,,CollegeInSight_Explore_IN.csv
370,Idaho - Public,2015-16,0.66,27984,18469,3870,0.51,5798,5916,0.35,CollegeInSight_Explore_IN.csv
371,Idaho - Public,2014-15,0.66,27363,18032,3777,0.48,5584,5862,0.35,CollegeInSight_Explore_IN.csv
372,Idaho - Public,2013-14,0.71,25890,18450,4343,0.55,5573,5292,0.33,CollegeInSight_Explore_IN.csv
373,Idaho - Public,2012-13,0.68,26218,17843,4634,0.54,5859,4988,0.33,CollegeInSight_Explore_IN.csv
374,Idaho - Public,2011-12,0.65,26624,17211,5064,0.57,5935,4764,0.31,CollegeInSight_Explore_IN.csv
375,Idaho - Public,2010-11,0.66,24112,16013,5121,0.55,5625,4437,0.33,CollegeInSight_Explore_IN.csv
376,Idaho - Public,2009-10,0.66,23946,15804,4138,0.51,5547,4134,0.34,CollegeInSight_Explore_IN.csv
377,Idaho - Total,2016-17,0.61,26675,16271,,,,6245,,CollegeInSight_Explore_IN.csv
378,Idaho - Total,2015-16,0.66,27130,17906,5697,0.48,5952,6472,0.41,CollegeInSight_Explore_IN.csv
379,Idaho - Total,2014-15,0.67,27700,18492,5709,0.49,5832,6716,0.42,CollegeInSight_Explore_IN.csv
380,Idaho - Total,2013-14,0.72,26089,18686,6736,0.55,6031,6234,0.4,CollegeInSight_Explore_IN.csv
381,Idaho - Total,2012-13,0.68,26463,18055,7120,0.53,6169,6071,0.42,CollegeInSight_Explore_IN.csv
382,Idaho - Total,2011-12,0.65,26751,17302,7731,0.56,5910,5718,0.43,CollegeInSight_Explore_IN.csv
383,Idaho - Total,2010-11,0.66,24134,15839,7942,0.55,6171,5328,0.44,CollegeInSight_Explore_IN.csv
384,Idaho - Total,2009-10,0.66,24178,16068,7030,0.5,6188,5025,0.45,CollegeInSight_Explore_IN.csv
385,"Indiana - Private, for-profit",2016-17,,,,,,,14349,,CollegeInSight_Explore_IN.csv
386,"Indiana - Private, for-profit",2015-16,,,,3563,0.8,8122,15352,0.48,CollegeInSight_Explore_IN.csv
387,"Indiana - Private, for-profit",2014-15,,,,4576,0.82,7971,15404,0.46,CollegeInSight_Explore_IN.csv
388,"Indiana - Private, for-profit",2013-14,,,,5211,0.82,8518,15226,0.5,CollegeInSight_Explore_IN.csv
389,"Indiana - Private, for-profit",2012-13,,,,4503,0.8,8483,14771,0.52,CollegeInSight_Explore_IN.csv
390,"Indiana - Private, for-profit",2011-12,,,,5631,0.86,8313,13882,0.52,CollegeInSight_Explore_IN.csv
391,"Indiana - Private, for-profit",2010-11,,,,8106,0.87,8584,13535,0.5,CollegeInSight_Explore_IN.csv
392,"Indiana - Private, for-profit",2009-10,,,,9158,0.8,8821,13426,0.53,CollegeInSight_Explore_IN.csv
393,"Indiana - Private, nonprofit",2016-17,0.62,33518,20781,,,,33696,,CollegeInSight_Explore_IN.csv
394,"Indiana - Private, nonprofit",2015-16,0.63,33881,21345,8901,0.61,7538,33376,0.67,CollegeInSight_Explore_IN.csv
395,"Indiana - Private, nonprofit",2014-15,0.68,31500,21371,9283,0.65,7735,32325,0.67,CollegeInSight_Explore_IN.csv
396,"Indiana - Private, nonprofit",2013-14,0.67,31834,21291,8884,0.62,7642,31596,0.67,CollegeInSight_Explore_IN.csv
397,"Indiana - Private, nonprofit",2012-13,0.68,30058,20515,9426,0.66,7666,30579,0.67,CollegeInSight_Explore_IN.csv
398,"Indiana - Private, nonprofit",2011-12,0.7,28429,19959,9887,0.71,7282,29257,0.68,CollegeInSight_Explore_IN.csv
399,"Indiana - Private, nonprofit",2010-11,0.7,29623,20680,10412,0.72,7154,28000,0.68,CollegeInSight_Explore_IN.csv
400,"Indiana - Private, nonprofit",2009-10,0.67,28629,19220,10436,0.71,7091,26870,0.68,CollegeInSight_Explore_IN.csv
401,Indiana - Public,2016-17,0.55,27761,15268,,,,8427,,CollegeInSight_Explore_IN.csv
402,Indiana - Public,2015-16,0.57,27637,15753,18290,0.44,6716,8166,0.45,CollegeInSight_Explore_IN.csv
403,Indiana - Public,2014-15,0.58,27854,16145,19325,0.46,6536,7975,0.43,CollegeInSight_Explore_IN.csv
404,Indiana - Public,2013-14,0.6,28324,16921,19913,0.46,6551,7658,0.43,CollegeInSight_Explore_IN.csv
405,Indiana - Public,2012-13,0.6,27878,16843,20554,0.48,6607,7329,0.41,CollegeInSight_Explore_IN.csv
406,Indiana - Public,2011-12,0.62,27626,17059,22652,0.51,6273,6898,0.41,CollegeInSight_Explore_IN.csv
407,Indiana - Public,2010-11,0.6,26488,16015,25580,0.53,6244,6410,0.41,CollegeInSight_Explore_IN.csv
408,Indiana - Public,2009-10,0.59,25762,15144,23619,0.5,6208,6209,0.42,CollegeInSight_Explore_IN.csv
409,Indiana - Total,2016-17,0.57,29561,16850,,,,15357,,CollegeInSight_Explore_IN.csv
410,Indiana - Total,2015-16,0.59,29562,17442,30754,0.51,7117,14732,0.5,CollegeInSight_Explore_IN.csv
411,Indiana - Total,2014-15,0.61,29022,17646,33184,0.54,7069,14240,0.49,CollegeInSight_Explore_IN.csv
412,Indiana - Total,2013-14,0.61,29222,17948,34008,0.54,7138,13788,0.49,CollegeInSight_Explore_IN.csv
413,Indiana - Total,2012-13,0.62,28466,17747,34483,0.55,7141,13197,0.47,CollegeInSight_Explore_IN.csv
414,Indiana - Total,2011-12,0.64,27886,17919,38170,0.59,6836,12220,0.48,CollegeInSight_Explore_IN.csv
415,Indiana - Total,2010-11,0.63,27500,17379,44098,0.61,6889,11517,0.48,CollegeInSight_Explore_IN.csv
416,Indiana - Total,2009-10,0.61,26722,16391,43213,0.59,6975,11211,0.5,CollegeInSight_Explore_IN.csv
417,"Iowa - Private, for-profit",2016-17,,,,,,,17827,,CollegeInSight_Explore_IN.csv
418,"Iowa - Private, for-profit",2015-16,,,,948,0.81,7624,17199,0.53,CollegeInSight_Explore_IN.csv
419,"Iowa - Private, for-profit",2014-15,,,,814,0.74,7664,15623,0.5,CollegeInSight_Explore_IN.csv
420,"Iowa - Private, for-profit",2013-14,,,,1765,0.79,7624,12208,0.38,CollegeInSight_Explore_IN.csv
421,"Iowa - Private, for-profit",2012-13,,,,3291,0.81,7267,11586,0.46,CollegeInSight_Explore_IN.csv
422,"Iowa - Private, for-profit",2011-12,,,,3956,0.84,7440,11291,0.53,CollegeInSight_Explore_IN.csv
423,"Iowa - Private, for-profit",2010-11,,,,4361,0.82,7763,11237,0.57,CollegeInSight_Explore_IN.csv
424,"Iowa - Private, for-profit",2009-10,,,,5334,0.8,7400,15576,0.56,CollegeInSight_Explore_IN.csv
425,"Iowa - Private, nonprofit",2016-17,0.75,33610,25208,,,,32856,,CollegeInSight_Explore_IN.csv
426,"Iowa - Private, nonprofit",2015-16,0.75,32724,24543,5827,0.72,8390,31954,0.63,CollegeInSight_Explore_IN.csv
427,"Iowa - Private, nonprofit",2014-15,0.73,32384,23497,6240,0.73,8218,30527,0.63,CollegeInSight_Explore_IN.csv
428,"Iowa - Private, nonprofit",2013-14,0.76,32295,24416,6272,0.74,8082,29425,0.64,CollegeInSight_Explore_IN.csv
429,"Iowa - Private, nonprofit",2012-13,0.77,31487,24299,6329,0.75,7870,28455,0.62,CollegeInSight_Explore_IN.csv
430,"Iowa - Private, nonprofit",2011-12,0.81,30997,25122,6686,0.78,7650,27115,0.64,CollegeInSight_Explore_IN.csv
431,"Iowa - Private, nonprofit",2010-11,0.82,29547,24294,6678,0.78,7163,25827,0.62,CollegeInSight_Explore_IN.csv
432,"Iowa - Private, nonprofit",2009-10,0.83,31217,25756,6666,0.77,7984,24599,0.62,CollegeInSight_Explore_IN.csv
433,Iowa - Public,2016-17,0.57,27312,15568,,,,6709,,CollegeInSight_Explore_IN.csv
434,Iowa - Public,2015-16,0.59,27575,16269,12823,0.52,5868,6267,0.49,CollegeInSight_Explore_IN.csv
435,Iowa - Public,2014-15,0.61,27061,16379,12994,0.54,5746,6121,0.46,CollegeInSight_Explore_IN.csv
436,Iowa - Public,2013-14,0.62,27523,17111,13616,0.55,5699,6026,0.43,CollegeInSight_Explore_IN.csv
437,Iowa - Public,2012-13,0.64,27695,17826,14953,0.59,5634,5743,0.42,CollegeInSight_Explore_IN.csv
438,Iowa - Public,2011-12,0.64,28073,17905,15480,0.59,5546,5519,0.45,CollegeInSight_Explore_IN.csv
439,Iowa - Public,2010-11,0.65,27891,18056,15919,0.59,5467,5162,0.47,CollegeInSight_Explore_IN.csv
440,Iowa - Public,2009-10,0.64,28108,18125,15588,0.59,5229,4837,0.48,CollegeInSight_Explore_IN.csv
441,Iowa - Total,2016-17,0.63,29859,18811,,,,13071,,CollegeInSight_Explore_IN.csv
442,Iowa - Total,2015-16,0.65,29801,19371,19598,0.58,6703,12637,0.53,CollegeInSight_Explore_IN.csv
443,Iowa - Total,2014-15,0.66,29547,19386,20048,0.6,6593,12536,0.5,CollegeInSight_Explore_IN.csv
444,Iowa - Total,2013-14,0.68,29732,20141,21653,0.61,6546,12001,0.47,CollegeInSight_Explore_IN.csv
445,Iowa - Total,2012-13,0.69,29370,20401,24573,0.65,6428,11401,0.47,CollegeInSight_Explore_IN.csv
446,Iowa - Total,2011-12,0.71,29456,20893,26122,0.66,6371,10803,0.5,CollegeInSight_Explore_IN.csv
447,Iowa - Total,2010-11,0.72,28658,20580,26958,0.66,6258,10252,0.52,CollegeInSight_Explore_IN.csv
448,Iowa - Total,2009-10,0.72,29635,21406,27588,0.66,6314,10314,0.53,CollegeInSight_Explore_IN.csv
449,"Kentucky - Private, for-profit",2016-17,,,,,,,17731,,CollegeInSight_Explore_MN.csv
450,"Kentucky - Private, for-profit",2015-16,,,,1508,0.75,7734,17017,0.45,CollegeInSight_Explore_MN.csv
451,"Kentucky - Private, for-profit",2014-15,,,,1994,0.76,8042,16006,0.48,CollegeInSight_Explore_MN.csv
452,"Kentucky - Private, for-profit",2013-14,,,,2116,0.81,8216,15154,0.44,CollegeInSight_Explore_MN.csv
453,"Kentucky - Private, for-profit",2012-13,,,,2153,0.79,7719,14796,0.45,CollegeInSight_Explore_MN.csv
454,"Kentucky - Private, for-profit",2011-12,,,,2718,0.82,8117,14652,0.44,CollegeInSight_Explore_MN.csv
455,"Kentucky - Private, for-profit",2010-11,,,,3772,0.8,8029,14100,0.51,CollegeInSight_Explore_MN.csv
456,"Kentucky - Private, for-profit",2009-10,,,,4980,0.8,9802,13152,0.53,CollegeInSight_Explore_MN.csv
457,"Kentucky - Private, nonprofit",2016-17,0.62,26889,16671,,,,27466,,CollegeInSight_Explore_MN.csv
458,"Kentucky - Private, nonprofit",2015-16,0.65,24629,16009,3723,0.63,6554,26353,0.5,CollegeInSight_Explore_MN.csv
459,"Kentucky - Private, nonprofit",2014-15,0.71,25613,18241,3965,0.65,6353,25108,0.49,CollegeInSight_Explore_MN.csv
460,"Kentucky - Private, nonprofit",2013-14,0.69,24139,16607,4123,0.67,6521,24079,0.5,CollegeInSight_Explore_MN.csv
461,"Kentucky - Private, nonprofit",2012-13,0.69,23267,16159,4406,0.71,6352,23060,0.5,CollegeInSight_Explore_MN.csv
462,"Kentucky - Private, nonprofit",2011-12,0.69,22421,15486,4389,0.7,5892,20705,0.51,CollegeInSight_Explore_MN.csv
463,"Kentucky - Private, nonprofit",2010-11,0.73,22880,16718,4457,0.7,5767,19762,0.5,CollegeInSight_Explore_MN.csv
464,"Kentucky - Private, nonprofit",2009-10,0.75,19754,14724,3873,0.64,5889,18997,0.52,CollegeInSight_Explore_MN.csv
465,Kentucky - Public,2016-17,0.64,28697,18366,,,,8322,,CollegeInSight_Explore_MN.csv
466,Kentucky - Public,2015-16,0.63,29619,18660,12189,0.45,6242,7835,0.41,CollegeInSight_Explore_MN.csv
467,Kentucky - Public,2014-15,0.63,27689,17377,13184,0.48,6222,7533,0.4,CollegeInSight_Explore_MN.csv
468,Kentucky - Public,2013-14,0.63,26486,16700,13613,0.5,6097,7098,0.39,CollegeInSight_Explore_MN.csv
469,Kentucky - Public,2012-13,0.57,25036,14380,14376,0.51,6073,6720,0.38,CollegeInSight_Explore_MN.csv
